SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,IsLuxury
1293.03,1.157028832,3,1045.77,48.02,5.6,20.85,30.95,90.46,2.01,4.92,4.91,5.7,0
1768.98,1.186842402,2,599.24,38.64,5.76,50.39,20.5,90.62,0.78,3.95,2.67,5.14,0
678.96,1.69632144,3,359.9,11.45,5.97,6.65,4.07,86.27,1.79,3.83,8.46,8.3,0
550.0,2.078676674,2,317.55,0.81,7.86,42.06,16.87,98.28,2.09,5.35,8.04,6.73,1
1443.7,1.302434325,4,193.93,24.69,7.21,67.64,0.93,91.46,1.51,3.19,4.67,4.95,1
1103.66,1.0,2,463.26,56.37,4.7,32.24,27.74,92.17,1.75,2.39,4.68,7.25,0
1487.78,1.275482758,3,241.84,19.82,8.5,7.82,11.6,99.9,1.65,6.47,5.84,7.36,1
550.0,1.0,3,545.0,37.37,5.56,59.08,59.71,99.9,1.25,2.63,2.32,9.0,0
1584.58,3.362106368,5,536.1,15.3,7.45,18.74,3.11,86.05,1.32,5.85,9.87,7.07,1
1443.74,1.967673886,1,643.82,5.5,10.0,38.0,6.66,95.61,1.39,4.37,2.79,4.53,0
550.0,4.155436811,4,708.54,3.66,9.49,43.87,3.35,94.42,1.43,7.07,9.66,8.37,1
890.77,3.102525723,4,651.7,28.89,8.95,5.99,5.94,99.9,1.42,5.29,6.22,3.68,0
1115.97,1.923727113,5,443.06,20.35,7.28,48.01,28.38,93.12,3.15,4.01,3.06,4.15,0
1040.56,1.0,3,81.47,8.89,10.0,32.37,12.19,99.9,0.79,8.66,10.0,6.51,1
713.17,1.768622862,3,133.48,53.55,4.7,79.27,41.13,97.9,1.79,4.95,6.28,9.6,1
550.0,2.459170586,3,57.57,38.43,6.31,26.62,20.9,94.42,1.98,2.66,0.97,6.36,0
550.0,1.0,1,317.82,62.92,3.54,141.84,19.99,94.52,0.97,0.6,1.84,3.25,1
669.92,2.695185411,2,393.47,73.91,6.47,117.9,18.77,95.31,1.87,4.44,2.28,6.35,0
550.0,3.073354242,3,682.14,23.46,5.76,59.79,5.61,83.73,0.92,2.29,2.59,8.01,0
1210.5,1.0,3,1246.73,34.55,8.44,69.62,23.63,90.42,0.78,3.47,8.12,3.64,1
966.84,3.345799806,3,90.6,13.61,6.57,34.79,27.92,86.4,1.94,6.09,8.74,6.95,1
1262.83,1.301229666,2,708.0,46.48,4.57,86.7,21.21,92.59,1.87,4.92,1.3,2.11,0
550.0,1.0,3,223.64,23.82,6.09,40.43,33.79,96.8,2.18,5.28,8.25,6.51,0
550.0,3.108462395,4,1101.59,8.8,9.06,45.26,1.29,98.7,1.44,5.22,4.95,4.9,1
621.77,1.767147022,3,414.8,63.54,5.3,81.6,33.91,88.38,1.43,3.54,10.0,4.95,0
890.09,2.777984747,4,269.05,62.7,10.0,54.09,8.36,95.33,1.77,6.93,8.59,8.5,1
813.78,1.920830835,4,561.36,54.84,8.76,23.53,31.5,92.59,0.72,7.03,4.89,5.16,1
985.36,1.726943989,3,873.14,55.3,7.33,19.91,12.92,98.08,1.37,5.56,3.1,2.21,1
1081.25,3.443553489,4,861.93,12.81,10.0,55.59,6.1,92.93,1.77,7.63,1.66,3.45,1
1339.86,1.879798173,6,547.11,48.16,9.41,47.76,13.5,96.24,1.75,7.2,9.83,5.31,1
550.0,1.0,2,365.11,52.25,4.44,101.6,31.63,90.11,0.86,3.73,3.99,7.35,0
1637.19,1.0,4,618.26,4.91,10.0,15.44,5.46,99.41,1.13,6.94,7.45,9.85,1
594.6,1.0,3,207.14,34.0,5.32,114.32,39.35,89.87,1.43,5.36,3.06,6.24,0
2229.45,3.008798315,4,889.08,50.44,10.0,53.9,6.3,99.9,1.88,8.34,7.11,6.43,1
1849.9,4.053479115,2,620.4,13.23,6.69,34.48,42.9,92.43,1.41,8.64,6.33,3.05,1
550.0,2.480632076,3,851.92,54.42,7.51,2.22,19.67,94.39,1.66,3.29,6.49,4.41,0
1212.22,1.0,4,479.64,12.2,6.54,48.11,17.37,89.19,1.81,5.54,10.0,7.69,1
816.16,1.793404252,2,576.84,1.27,6.35,61.14,24.52,92.5,2.51,4.26,6.5,8.11,0
911.18,1.605692896,3,938.78,55.34,8.12,4.54,34.5,95.44,1.2,5.31,4.49,2.95,1
967.5,1.907266685,1,619.84,56.21,9.2,32.92,30.64,89.77,1.74,4.31,6.0,5.87,0
1216.56,2.209331184,4,624.93,8.96,9.57,69.65,20.57,98.1,1.04,7.79,9.46,8.15,1
1681.58,1.656776075,3,476.95,18.3,6.92,27.82,3.68,98.53,2.32,10.0,8.26,6.39,1
550.0,2.351374466,2,248.59,9.25,6.43,59.29,11.77,93.02,1.77,2.88,2.88,3.65,0
550.0,2.341396596,2,405.5,48.67,8.34,29.18,28.92,89.8,0.86,7.66,5.63,6.92,0
1115.75,2.317665663,2,381.71,39.5,5.37,40.24,8.35,91.07,1.23,4.88,6.98,8.32,1
550.0,1.0,4,91.33,30.39,7.19,38.93,1.26,85.09,1.6,3.43,2.6,6.62,0
793.35,1.0,1,765.13,34.88,7.42,59.11,18.17,96.45,1.64,6.03,5.18,2.01,0
550.0,3.060359665,2,748.23,54.61,7.06,70.55,16.36,99.9,1.53,3.51,4.1,5.04,0
550.0,1.0,4,762.92,29.73,5.97,63.84,1.71,99.24,1.23,5.92,10.0,8.72,0
550.0,1.384784537,3,715.85,47.83,7.76,55.92,27.33,86.66,0.77,3.2,0.49,2.76,0
550.0,2.611916545,1,290.28,17.7,5.14,5.79,16.49,89.02,1.02,3.71,10.0,6.44,1
710.01,2.690295665,4,47.38,3.23,5.37,45.29,22.83,95.14,1.52,6.18,7.03,8.05,1
550.0,1.748838273,2,279.77,23.71,6.43,10.11,29.45,88.13,1.2,3.99,3.9,3.69,0
550.0,3.509578535,3,683.43,6.52,10.0,99.07,31.77,99.9,1.27,6.06,1.51,6.5,0
2084.71,3.364524651,2,752.92,38.97,9.27,53.43,0.89,97.56,1.26,9.76,10.0,8.1,1
550.0,1.064643868,3,353.03,8.28,5.93,16.8,43.13,86.5,1.26,3.36,5.46,6.99,0
667.3,1.898717562,3,671.66,29.01,2.71,118.18,9.62,95.57,1.62,2.13,6.47,5.46,1
991.57,1.269895303,4,568.42,20.61,8.81,61.74,31.63,98.12,1.11,5.98,1.82,8.09,0
1856.98,2.846272555,3,175.51,33.9,9.44,14.21,26.06,93.76,2.17,7.42,10.0,6.54,1
641.65,2.384926371,3,651.03,23.31,6.44,115.45,23.51,83.46,1.57,2.35,9.24,5.59,0
1072.14,3.561651219,2,410.06,54.33,9.77,6.48,11.51,99.9,0.93,6.32,5.64,3.89,1
1393.7,1.964355677,4,289.19,51.18,8.63,58.77,0.4,97.49,1.37,7.26,5.48,6.59,1
1647.88,1.0,3,605.78,39.02,6.18,81.17,0.09,96.84,0.93,4.37,2.0,3.75,1
550.0,2.247559841,4,329.7,33.45,8.92,32.06,9.25,97.2,1.76,1.14,1.58,3.02,1
1156.67,1.930554319,3,484.04,30.35,7.04,60.91,14.63,99.9,1.14,2.17,3.12,4.2,0
689.64,3.009721242,3,459.57,34.24,6.28,15.41,5.49,94.29,1.28,4.95,7.23,4.35,1
1477.74,1.0,5,110.94,52.85,8.19,46.9,2.29,89.91,1.65,5.8,3.08,5.79,1
1425.85,1.169170551,4,819.64,9.59,9.35,65.96,26.44,90.99,1.95,6.27,7.55,7.08,1
1127.92,2.834585205,2,586.47,28.67,7.02,4.5,45.03,92.94,1.58,6.58,7.72,9.95,0
1088.99,1.877355026,3,299.76,49.82,6.85,58.14,11.75,91.25,2.31,3.76,6.96,8.78,1
922.13,1.418995161,4,1374.65,7.88,7.16,43.97,9.08,98.01,1.05,6.41,0.65,0.81,1
1150.13,2.590377394,2,112.35,5.1,4.45,56.49,9.46,99.9,1.3,3.32,0.34,4.98,1
550.0,1.403092428,4,200.61,22.44,2.93,105.69,5.32,86.92,1.23,1.94,1.25,5.8,0
1493.17,1.970040899,4,277.14,35.35,10.0,0.29,2.44,98.86,1.65,7.57,8.29,10.0,0
714.02,1.0,3,561.66,21.2,8.85,29.9,17.14,99.9,2.78,3.6,3.97,4.66,0
859.94,1.0,1,531.17,27.48,5.81,54.08,40.04,92.23,1.67,3.2,7.85,6.52,0
763.08,4.911454496,4,259.31,53.7,8.4,19.38,6.97,87.76,1.62,4.96,5.22,5.86,1
1553.97,4.232370215,3,367.84,28.59,7.77,0.51,4.39,96.84,0.75,6.23,9.14,7.57,1
1491.39,2.071709071,4,554.25,15.06,7.54,51.55,19.55,99.9,1.76,7.59,7.69,5.81,1
550.0,2.603287583,3,111.45,33.57,5.56,1.93,8.14,88.1,1.97,4.4,4.81,7.92,1
1063.59,2.128704106,2,881.56,49.17,5.27,62.61,16.56,88.84,1.61,5.97,5.64,8.0,0
550.0,1.0,4,639.38,13.24,5.77,43.64,30.22,91.29,1.24,0.44,5.68,3.5,0
1320.1,2.289294646,3,581.23,25.26,6.06,34.15,1.81,99.54,0.63,6.34,5.52,5.51,0
1573.38,1.672715681,2,948.74,52.98,3.92,43.49,34.38,97.59,0.62,5.33,7.17,6.55,0
798.96,1.992846293,1,618.83,31.33,4.32,30.34,26.49,91.07,2.18,3.97,1.91,4.44,1
1660.73,2.462371258,2,304.76,12.55,9.18,26.25,30.23,96.54,1.49,4.24,8.1,6.23,1
1236.22,1.0,4,344.69,5.85,7.5,16.1,13.77,91.36,2.27,2.27,3.41,6.26,1
852.64,1.938745922,5,428.46,24.87,9.93,15.62,4.32,98.23,1.52,4.7,8.69,7.89,1
709.19,3.504748093,2,73.71,37.96,4.45,42.64,26.61,93.76,1.58,3.27,4.64,6.1,0
1663.86,1.409881911,3,648.92,60.44,6.17,57.58,29.26,93.23,2.19,5.2,7.91,7.56,1
1000.08,1.975327735,3,429.12,15.15,6.16,35.94,21.75,85.14,1.5,4.67,2.04,2.58,0
1275.64,1.165589586,3,514.5,18.05,8.55,46.18,13.27,99.84,1.63,8.86,9.86,7.84,0
724.56,1.88046612,2,657.44,25.11,6.21,83.92,16.81,95.44,2.41,3.17,7.54,5.77,1
1667.57,2.326173617,2,725.07,9.92,7.56,30.02,19.82,90.39,2.09,6.26,2.5,3.55,0
1502.69,2.3424295,3,195.91,3.82,7.19,5.63,42.44,97.55,1.33,3.68,3.66,6.13,0
1401.23,3.168090756,4,39.45,13.1,10.0,43.15,7.32,93.27,1.33,8.73,7.79,10.0,0
1216.41,3.649014198,5,1059.28,13.58,8.09,19.19,31.52,99.76,1.35,8.01,10.0,8.5,1
1395.04,2.424142183,3,770.71,2.21,7.57,50.88,4.39,95.33,1.42,7.27,8.22,7.44,1
674.64,1.246114285,3,730.15,13.36,4.96,6.17,12.54,94.65,1.42,3.95,7.81,5.28,0
1507.02,1.885689482,1,976.97,37.08,8.02,3.15,5.19,84.35,1.55,6.75,10.0,7.08,0
1028.47,2.313091554,4,213.54,30.1,6.02,80.26,45.1,88.91,1.8,4.93,4.99,4.86,1
1068.13,3.381325573,2,588.7,33.42,7.71,5.59,27.87,90.14,1.11,8.09,5.76,7.34,0
679.78,1.601615535,3,253.64,15.43,7.8,2.43,0.68,97.09,2.15,5.37,7.13,6.8,0
1338.96,3.277371785,1,356.98,43.5,4.36,81.9,49.81,96.64,1.61,2.75,5.46,7.78,1
1484.56,1.985704141,2,393.27,8.45,6.69,76.69,12.25,93.59,1.3,3.78,6.65,6.09,1
1599.41,1.512261832,3,1047.22,7.56,7.25,86.6,15.78,87.05,0.73,3.94,2.09,2.67,0
924.7,1.0,4,918.36,34.02,8.07,82.47,1.9,88.95,1.6,3.47,5.94,7.09,0
1572.26,1.89491492,2,904.34,16.94,4.45,45.31,28.72,92.36,1.88,8.58,5.21,8.05,0
1053.75,1.682396976,3,357.8,30.95,8.41,105.75,22.85,96.03,1.23,5.08,8.61,6.28,0
613.71,1.320775716,5,609.64,44.17,10.0,8.46,27.96,94.58,1.46,4.85,9.4,7.83,0
852.26,1.712161555,3,668.19,15.78,6.96,49.33,33.99,99.9,0.98,5.34,10.0,7.94,0
1251.83,1.595622428,2,279.62,36.03,6.96,2.59,27.09,99.9,1.76,7.11,4.26,2.7,0
1729.0,3.578398802,4,976.73,45.88,4.55,11.96,6.0,99.9,1.58,8.5,5.73,5.85,1
1284.31,1.793537258,5,274.86,34.3,8.11,38.65,14.42,96.89,1.49,6.68,8.28,6.64,1
550.0,3.458587459,5,550.62,58.75,7.73,9.94,26.9,91.61,1.79,1.52,8.54,4.45,0
793.3,1.107599503,3,648.22,16.36,7.77,47.64,11.15,96.1,1.18,5.33,7.52,6.41,1
1375.85,1.458095606,4,586.85,25.38,8.25,60.77,2.98,92.71,1.53,5.43,10.0,8.96,1
550.0,2.92510514,4,753.8,14.54,7.19,29.12,24.19,92.17,2.25,6.72,4.7,6.44,0
890.0,2.244007695,5,235.71,64.25,10.0,26.18,6.05,92.34,0.16,5.54,9.88,9.35,1
1230.48,1.246949043,3,16.45,14.51,4.62,19.58,20.06,95.0,1.4,4.58,6.41,4.68,0
550.0,1.415396689,1,655.02,40.78,5.09,4.37,6.6,92.35,1.75,4.09,6.61,6.72,0
1023.07,1.177763634,4,55.58,13.02,8.3,15.38,3.08,94.05,1.53,6.2,7.85,5.54,1
709.62,1.86213112,4,100.66,27.96,6.08,7.95,7.71,95.36,2.28,2.74,5.8,5.25,0
678.8,2.11380747,3,246.18,32.37,8.11,1.25,12.96,97.36,1.19,5.77,6.14,5.68,0
767.36,1.0,4,546.27,20.76,8.83,14.49,0.86,86.1,1.71,6.18,9.38,9.85,0
1917.9,1.0,2,339.31,35.89,7.54,87.0,36.98,91.2,1.02,3.85,4.69,3.18,0
1128.87,1.947902626,4,446.52,39.81,6.92,9.6,12.12,93.43,0.97,1.54,9.79,3.7,1
550.0,1.895133109,2,135.79,36.96,7.56,27.28,15.68,82.09,0.87,1.11,3.62,4.25,0
1655.56,3.223624288,3,928.97,28.7,6.14,35.97,10.95,92.26,1.44,5.43,3.61,5.61,1
1648.71,3.334430366,2,817.04,50.29,7.05,13.37,10.32,84.28,1.79,8.17,2.34,5.59,1
870.82,2.307576119,4,333.83,61.22,2.93,16.33,20.31,86.92,1.28,1.67,3.6,3.96,0
550.0,1.512036654,3,660.16,48.56,5.61,36.23,29.35,88.73,1.21,3.01,2.41,3.8,0
1405.88,2.389428059,4,887.54,34.9,6.38,19.14,13.49,99.9,1.11,6.09,6.68,3.87,1
620.84,1.762192488,3,17.86,19.36,5.13,32.53,6.75,88.01,1.27,4.53,1.88,6.76,0
1625.2,1.21043069,2,30.27,13.9,6.62,36.28,5.04,89.2,0.6,5.7,3.87,8.21,1
1266.86,1.31267576,4,420.43,4.4,9.33,15.76,30.19,98.21,1.3,5.4,9.98,9.17,0
591.9,1.934098603,3,790.45,50.95,6.4,99.3,38.11,99.37,2.47,6.51,7.26,7.77,0
934.48,1.8563296,4,655.14,27.23,7.29,148.55,20.96,99.9,0.14,5.33,5.97,7.11,0
1364.97,3.197284143,4,220.55,24.85,7.92,6.96,2.73,95.31,1.85,4.6,7.49,9.82,0
843.91,2.784203609,4,782.47,34.3,8.36,68.35,9.36,97.72,0.65,5.99,6.24,8.84,1
1361.08,3.033505302,3,932.45,46.14,5.68,116.42,20.88,84.7,2.04,7.45,2.72,3.16,1
803.03,1.419109694,4,381.95,2.6,7.11,61.83,41.89,99.46,1.17,4.16,9.17,5.1,0
773.47,2.051570909,3,106.19,19.55,6.65,83.96,1.14,88.85,1.63,3.28,4.39,3.94,0
1530.02,1.310494482,4,175.19,45.09,9.03,101.8,27.47,92.41,2.36,5.18,5.77,4.86,1
1106.34,4.453795884,3,431.21,20.21,10.0,79.66,0.11,91.15,0.42,6.5,3.71,8.16,1
1532.08,3.279911887,3,596.12,31.49,8.46,28.65,1.1,95.02,1.38,7.76,9.54,9.54,1
612.16,1.0,3,468.01,33.15,7.76,12.93,2.13,97.2,1.12,5.03,5.2,3.59,0
600.25,1.384366953,4,641.45,19.99,6.48,43.35,20.55,92.12,1.78,6.01,9.18,6.61,0
1045.36,1.0,3,145.96,43.8,7.23,1.9,27.68,91.38,1.85,5.22,2.17,2.47,1
964.27,1.0,6,623.13,25.83,9.18,76.89,29.05,98.21,1.69,5.04,4.42,4.16,1
1380.55,1.075518813,3,196.27,54.97,7.28,40.3,10.71,91.24,1.86,2.03,3.94,0.8,0
1535.8,2.82176821,3,622.19,16.65,9.36,2.27,24.12,94.93,1.0,7.77,6.07,2.15,1
550.0,3.11877006,4,933.51,49.59,10.0,31.22,29.38,97.54,1.79,6.84,7.23,7.61,1
1054.14,1.8262287,2,308.78,44.33,8.16,46.52,22.4,98.67,1.46,5.07,7.51,4.06,0
1070.66,2.718867575,4,253.99,19.08,8.53,42.25,38.3,90.01,1.71,5.51,0.63,1.96,1
1039.41,1.197140971,2,763.38,44.08,5.16,49.98,3.11,89.84,0.7,3.74,2.3,2.77,0
722.71,1.0,3,701.84,8.39,7.79,59.63,18.78,97.56,2.14,3.98,5.94,9.21,0
593.33,3.649598047,1,522.54,26.44,6.18,18.44,6.15,94.18,1.65,1.97,8.36,9.3,0
1208.86,1.319678246,2,661.44,23.08,6.78,19.06,7.21,96.65,1.95,4.8,5.16,4.2,0
1791.87,3.973554313,3,412.07,25.56,8.51,56.05,52.5,95.79,1.43,8.99,6.67,9.49,1
550.0,1.369239433,1,510.2,59.26,5.66,46.75,5.98,99.08,0.9,0.37,8.64,6.27,1
826.87,2.960604077,4,578.59,1.75,6.83,16.14,31.39,96.75,1.51,5.49,4.58,6.11,1
1255.62,2.368166907,3,147.68,1.34,8.68,78.37,14.22,93.64,2.58,5.56,6.33,8.0,0
1604.68,1.0,3,336.98,37.45,7.35,88.13,13.4,94.47,1.56,6.04,7.36,3.91,0
550.0,2.027882387,2,489.29,20.3,7.12,21.14,6.84,99.04,1.65,4.43,6.99,4.9,0
550.0,4.149932625,3,172.48,22.98,7.98,44.76,42.02,90.45,1.05,2.77,1.96,3.56,0
676.56,2.629331952,1,552.24,30.05,5.22,12.6,18.77,91.51,2.24,5.0,8.67,8.92,0
1179.85,4.129395778,3,28.74,40.75,6.98,17.98,10.55,95.49,0.92,5.42,6.85,5.3,1
760.03,3.537338211,5,591.83,0.98,8.04,57.29,13.43,86.52,0.73,4.03,9.04,5.87,1
997.54,1.212399891,2,289.46,11.11,5.23,88.56,41.92,90.98,1.8,1.04,2.89,1.95,0
1027.22,2.744670165,3,166.11,17.4,5.58,101.68,17.23,94.02,1.05,3.53,8.05,6.97,1
1063.04,2.105705566,3,611.67,38.75,8.12,23.34,8.28,95.22,2.36,6.64,10.0,6.26,1
1382.16,1.877179032,3,918.85,13.57,6.48,0.2,22.35,85.05,1.98,5.77,2.68,6.13,0
550.0,1.455695646,5,734.97,42.68,7.21,39.9,11.18,91.14,2.0,4.53,5.76,6.04,0
550.0,1.0,3,206.6,31.93,5.82,10.15,13.52,92.5,1.06,4.55,8.44,6.52,0
1161.42,2.609613824,3,314.41,26.21,6.07,69.75,17.1,95.17,2.29,5.08,10.0,8.05,1
708.08,3.530110112,4,137.97,43.05,6.8,18.24,4.28,86.32,1.38,7.62,7.56,6.41,1
1671.11,2.141318003,3,848.09,11.66,8.16,9.5,13.71,99.69,0.96,3.38,3.26,9.03,1
818.16,2.2126038,2,652.94,16.28,7.61,12.9,20.93,95.68,0.94,5.73,7.88,9.42,0
550.0,3.028107425,2,1158.81,5.27,7.19,64.04,31.94,91.16,1.09,4.33,6.28,6.29,1
838.6,2.271824311,2,382.42,25.2,8.11,44.1,9.2,90.7,1.69,3.75,8.75,9.47,0
1280.31,1.875373694,3,621.16,40.7,9.17,62.37,12.51,86.71,1.89,5.19,5.06,6.51,1
1233.62,3.619336259,4,318.84,9.99,8.52,7.77,4.66,82.77,1.23,7.97,8.69,8.94,1
614.7,1.242049934,4,693.29,11.43,8.99,25.55,35.14,99.9,1.14,5.7,1.12,5.0,0
1666.6,2.95049827,3,601.89,19.93,7.14,84.8,10.68,93.24,1.52,5.01,4.44,5.85,1
574.11,1.761876553,3,513.85,38.11,8.99,73.78,27.57,86.02,2.05,4.9,5.47,8.11,0
1417.73,1.981079648,4,1065.12,8.17,9.53,34.59,9.83,99.9,0.61,7.37,6.22,7.23,1
569.54,2.120632388,3,347.87,39.59,3.11,29.78,12.98,99.9,0.75,2.2,6.67,5.81,1
1619.25,3.698881856,3,487.47,35.75,9.12,32.41,14.57,91.39,1.3,7.04,10.0,10.0,1
1108.37,3.448987905,4,454.38,3.17,10.0,48.32,6.5,95.93,0.88,8.92,6.36,10.0,1
579.11,2.186502328,3,503.17,25.53,5.05,112.41,9.67,82.98,1.53,4.48,6.19,7.28,0
1084.91,3.673612802,2,830.3,46.78,6.69,27.96,39.4,96.65,1.0,7.41,6.95,7.29,0
1088.51,1.409465488,2,543.77,45.8,6.19,23.34,9.8,89.62,0.71,4.51,5.0,4.84,0
550.0,1.134051435,1,319.11,51.94,3.4,60.45,28.41,85.77,2.0,1.07,8.73,2.69,0
1352.5,1.0,5,379.43,27.5,10.0,44.47,15.01,90.16,0.87,7.72,6.55,7.61,1
1339.88,1.231058139,4,443.41,36.41,10.0,77.29,16.39,93.7,1.14,6.91,9.68,10.0,1
1153.94,1.460690502,3,623.5,41.97,5.23,52.03,18.11,96.75,1.21,3.75,6.64,4.37,1
1002.76,2.721628034,3,515.12,26.26,10.0,20.57,15.27,89.4,2.19,6.31,7.26,6.57,1
919.69,1.464331369,2,875.66,6.51,8.62,42.13,31.65,97.64,1.22,5.41,3.6,5.67,0
860.71,1.0,1,546.49,45.9,5.48,14.68,41.04,92.08,1.27,2.79,0.12,4.26,0
1527.26,1.0,3,764.46,76.92,6.93,157.41,43.17,87.38,2.08,4.24,5.37,7.42,1
1496.1,1.0,2,759.92,4.99,6.26,104.36,11.38,99.0,1.01,5.92,10.0,9.62,0
1018.92,1.0,1,1069.2,60.88,3.63,78.78,39.49,96.42,1.91,3.53,1.49,7.45,0
1143.1,1.489469318,4,286.66,45.32,7.83,44.78,26.59,96.55,1.39,6.3,6.16,6.44,1
705.09,1.174726728,2,50.75,43.91,6.93,9.54,19.27,93.73,1.72,6.24,4.65,4.38,0
550.0,3.560778235,4,177.98,52.63,8.65,52.73,15.3,88.72,2.11,3.54,4.75,7.72,0
740.05,1.138505626,2,400.04,43.7,1.48,53.38,26.24,98.08,1.48,3.62,5.27,4.1,0
1594.79,2.863262762,3,423.56,36.53,7.07,44.55,4.78,96.85,1.44,7.09,9.31,8.36,0
1051.16,1.44919812,4,98.68,30.04,8.61,76.48,36.41,89.29,1.37,7.38,10.0,4.97,0
550.0,1.366286321,3,323.4,18.0,4.36,28.15,20.61,99.9,1.96,1.84,7.03,8.5,0
1235.84,1.842031534,2,772.48,1.79,5.65,93.07,4.31,85.55,1.26,3.35,0.93,7.36,0
743.83,3.065009116,2,926.96,22.8,3.25,91.53,12.23,87.08,2.21,5.53,10.0,7.24,1
1449.58,2.300015269,4,887.59,32.01,10.0,61.98,6.39,98.39,2.68,5.45,7.07,6.94,1
695.85,2.716703709,3,1058.78,22.0,7.39,23.15,5.18,98.97,1.54,6.43,10.0,5.53,1
2525.19,1.0,1,668.77,24.62,7.05,37.74,19.9,99.9,0.52,2.58,9.6,4.99,1
1556.04,3.515944816,3,129.86,23.05,8.21,29.92,10.8,96.14,1.76,7.47,3.45,7.15,1
936.93,1.0,3,664.37,50.51,7.08,94.89,4.26,95.47,1.4,4.4,7.1,6.91,0
550.0,1.603098238,3,203.4,39.48,6.52,60.06,30.05,99.9,1.29,5.31,7.75,1.05,0
1183.17,1.223493486,4,508.0,36.09,10.0,77.92,6.84,97.6,1.54,5.8,8.66,6.84,1
550.0,1.0,1,190.53,67.53,4.71,96.79,17.15,95.93,1.52,2.3,5.74,5.34,0
550.0,3.16977183,4,712.97,47.21,6.48,79.55,8.86,94.7,2.4,4.23,1.92,3.67,0
1467.33,2.343559315,4,153.22,46.37,7.4,37.99,19.18,99.9,1.09,4.69,2.97,1.1,1
571.32,1.0,1,46.44,6.49,5.28,40.84,14.63,88.62,1.5,1.01,0.68,4.06,0
